,bodyId,type,pre,post,size
69718,2251225397,,13,3,6796384
53681,1903362067,,26,20,12958457
80812,2465106393,,4,2,2684477
80160,2460357918,,18,8,18561622
80704,2464472373,,8,16,4746459
83663,2532741271,,77,108,77004111
39628,1605204375,,35,53,50009046
70755,2277697246,,3,3,6966579
2502,330454716,,68,52,86317746
24901,1195353344,,4,0,2645502
53369,1890605038,,5,15,4413954
71242,2281807166,,24,5,20871859
64180,2123024039,,36,68,31861950
56197,1948383076,,0,0,48229044
36910,1532989921,,14,12,12328928
91411,5813008630,,2,8,3346291
59074,2008627426,ORN_VC5,68,78,41020480
1801,301473561,,31,98,17623188
42791,1688499784,,35,44,22512582
22266,1106862090,CRE072,343,1219,812038935
57060,1968165149,,5,1,2088505
3656,363880513,,58,122,25036410
86881,2719239941,,0,0,215884579
87646,5812980010,SLP267,85,641,211564991
35962,1504332678,,2,12,1748121
38361,1568798829,,43,81,32521645
68070,2217868424,,64,77,185665382
59134,2009442707,,0,0,54626297
91158,5813007544,,34,14,14868335
30728,1358007728,,61,168,38594065
43922,1715421186,,5,11,6064348
61870,2068392807,,3,0,701105
52435,1877092435,,4,1,1340264
17314,891474688,,49,34,21598069
40933,1652720918,,40,55,42355754
17308,891141757,,4,7,2384161
95073,5813055439,SAD021_a,540,1267,807961067
64073,2121357883,,7,21,10732419
23611,1161731111,KCg-m,252,840,368368284
7418,518476551,LHAV2c1,253,444,549685247
39717,1609218092,,0,4,678728253
21862,1099117454,,9,213,107532888
42484,1684796974,,52,41,33301512
17486,894518335,,10,68,29702684
93497,5813033267,KCab-m,210,530,291488507
7331,517695589,,5,16,7579199
46447,1758337351,,86,129,150383453
16046,849832062,PFNa,87,418,259046164
36010,1505019768,,6,6,8759902
43918,1715162426,,43,84,33753519
2954,357250124,CL191,201,1327,393730464
65665,2157789234,,39,57,28487271
85360,2597237306,,5,1,4469702
34104,1451458268,,47,111,22503872
10289,608283432,SMP129,213,1164,866231564
32982,1434781529,,48,28,27992642
71732,2290333096,,4,20,3497904
38078,1564628545,,85,32,64468676
11060,640691030,SMP422,321,868,838286397
27671,1263832477,PAM03,107,571,145351462
42841,1689178622,,7,1,4259898
33589,1443682977,LC16,122,124,95484150
27110,1254344468,,32,564,382534667
64961,2147759974,,9,1,147233645
18438,942298063,,1,13,4109661
80389,2462085265,,2,11,2531796
16407,859079922,,2,43,17887474
61662,2064640909,,3,0,1933024
7884,543933499,,8,8,8885549
57869,1981689333,,37,150,22755872
80956,2466135389,,2,1,860524
62436,2075903345,,0,18,1705183
56498,1951638298,ORN_VA6,28,43,10549373
4079,391289810,SLP044_d,173,529,447431052
12492,700884019,LHCENT13_b,216,506,535183921
82447,2498283283,,33,30,12834040
24542,1189227234,,25,17,23713175
39010,1593815080,LPLC4,293,380,204294361
63698,2106597752,,5,3,1234838
58591,2000585161,,110,177,130204055
821,269066941,,18,12,14549330
96956,5813127030,PAM06_a,387,1411,487007634
58192,1995504026,,27,72,23778542
39431,1600161796,,12,9,6768816
27794,1267622869,,166,329,78849214
10374,609867847,mAL4,131,228,501251530
93575,5813034018,PLP220,147,2492,790699662
81143,2467787530,,2,4,1657928
96214,5813077705,,2,654,198670645
10501,611646147,KCab-p,257,696,368031615
77437,2402722771,,34,17,18414350
80850,2465418091,,3,6,12654312
11856,673370525,KCa'b'-m,209,568,362640450
28105,1284338822,IB085,380,533,869444033
74918,2348776945,,8,2,11644467
43590,1701347804,,1,0,248303985
49994,1828163689,,15,16,9788628
71085,2280555313,,4,6,3533171
37199,1536404744,,3,12,5505902
20899,1044805646,FS1B,115,456,238420236
55465,1935462570,,25,72,21063987
30188,1346779836,,22,18,15695156
44175,1718140330,,1,31,6539127
37863,1562319428,,24,12,17378156
24382,1173007139,PAM14,207,569,260414997
43035,1691574303,,5,2,2571488
16028,849400318,,0,1,160742372
86957,2739793836,,0,15,2417856
75825,2372650121,,20,12,19794164
58716,2002562910,,4,1,2696957
13082,728667734,SMP279_a,165,588,519872091
49367,1817073304,,4,4,1303227
80854,2465422462,,5,0,3710543
82519,2499923709,,5,6,3431504
27894,1281308505,,37,29,29074299
88432,5812987715,MC61,83,120,82696710
62831,2091038527,SAD063,128,40,331955819
38372,1569132206,,25,13,18070346
66620,2185447160,,28,31,24023449
30308,1348130288,,4,5,2702764
41626,1661615014,,256,159,197797606
44025,1716461747,,7,1,2717187
17831,915481348,PLP005,1103,1816,1899757126
42504,1685094841,,23,11,11411337
57979,1983036578,ORN_VM5v,113,158,84362618
73722,2338243247,,8,9,4004987
29463,1319815664,,100,153,58705467
91721,5813011061,SLP144,114,673,378562610
55944,1942551786,,7,8,3587199
83939,2551533524,,3,13,4957068
1054,271457393,,44,109,28447754
37482,1543897771,,5,8,4063326
69185,2246326337,,2,9,3568662
33614,1444305809,,20,21,11655323
15978,848843856,,6,27,13546354
67879,2216111507,,23,48,42900396
50153,1839042968,,89,796,398390348
75467,2369692775,,9,33,49187905
51220,1852408123,,463,110,454941440
32796,1420077659,,79,128,45247668
35149,1481098379,,47,105,24892913
