,Unnamed: 0,bodyId,instance,type,pre,post,downstream,upstream,mito,size,status,cropped,statusLabel,cellBodyFiber,somaRadius,somaLocation,roiInfo,notes,inputRois,outputRois
0,69718,2251225397,,,13,3,76,3,2,6796384,Traced,True,Leaves,,,,"{'OL(R)': {'pre': 13, 'post': 3, 'downstream': 76, 'upstream': 3, 'mito': 2, 'dark': 2}, 'LO(R)': {'pre': 13, 'post': 3, 'downstream': 76, 'upstream': 3, 'mito': 2, 'dark': 2}}",,"['LO(R)', 'OL(R)']","['LO(R)', 'OL(R)']"
1,53681,1903362067,,,26,20,158,20,5,12958457,Traced,True,Leaves,,,,"{'OL(R)': {'pre': 26, 'post': 20, 'downstream': 158, 'upstream': 20, 'mito': 5, 'dark': 5}, 'LO(R)': {'pre': 26, 'post': 20, 'downstream': 158, 'upstream': 20, 'mito': 5, 'dark': 5}}",,"['LO(R)', 'OL(R)']","['LO(R)', 'OL(R)']"
2,80812,2465106393,,,4,2,16,2,2,2684477,Traced,True,Leaves,,,,"{'OL(R)': {'pre': 4, 'post': 2, 'downstream': 16, 'upstream': 2, 'mito': 2, 'dark': 1, 'medium': 1}, 'LO(R)': {'pre': 4, 'post': 2, 'downstream': 16, 'upstream': 2, 'mito': 2, 'dark': 1, 'medium': 1}}",,"['LO(R)', 'OL(R)']","['LO(R)', 'OL(R)']"
3,80160,2460357918,,,18,8,145,8,4,18561622,Traced,True,Leaves,,,,"{'OL(R)': {'pre': 18, 'post': 8, 'downstream': 145, 'upstream': 8, 'mito': 3, 'dark': 2, 'medium': 1}, 'LO(R)': {'pre': 17, 'post': 7, 'downstream': 143, 'upstream': 7, 'mito': 3, 'dark': 2, 'medium': 1}, 'LOP(R)': {'pre': 1, 'post': 1, 'downstream': 2, 'upstream': 1}}",,"['LO(R)', 'LOP(R)', 'OL(R)']","['LO(R)', 'LOP(R)', 'OL(R)']"
4,80704,2464472373,,,8,16,60,16,1,4746459,Traced,True,Leaves,,,,"{'OL(R)': {'pre': 8, 'post': 16, 'downstream': 60, 'upstream': 16, 'mito': 1, 'dark': 1}, 'LO(R)': {'pre': 8, 'post': 16, 'downstream': 60, 'upstream': 16, 'mito': 1, 'dark': 1}}",,"['LO(R)', 'OL(R)']","['LO(R)', 'OL(R)']"
5,83663,2532741271,,,77,108,363,108,26,77004111,Traced,True,Leaves,,,,"{'PENP': {'pre': 77, 'post': 108, 'downstream': 363, 'upstream': 108, 'mito': 26, 'dark': 25, 'medium': 1}, 'SAD': {'pre': 77, 'post': 108, 'downstream': 363, 'upstream': 108, 'mito': 26, 'dark': 25, 'medium': 1}, 'SAD(-AMMC)': {'pre': 32, 'post': 51, 'downstream': 161, 'upstream': 51, 'mito': 12, 'dark': 12}, 'AMMC': {'pre': 45, 'post': 57, 'downstream': 202, 'upstream': 57, 'mito': 14, 'dark': 13, 'medium': 1}}",,"['AMMC', 'PENP', 'SAD', 'SAD(-AMMC)']","['AMMC', 'PENP', 'SAD', 'SAD(-AMMC)']"
6,39628,1605204375,,,35,53,189,53,27,50009046,Traced,True,Leaves,,,,"{'AL(L)': {'pre': 35, 'post': 53, 'downstream': 189, 'upstream': 53, 'mito': 10, 'dark': 8, 'medium': 2}, 'AL-DA2(L)': {'pre': 23, 'post': 31, 'downstream': 128, 'upstream': 31, 'mito': 8, 'dark': 8}, 'AL-DA4m(L)': {'pre': 12, 'post': 19, 'downstream': 61, 'upstream': 19, 'mito': 2, 'medium': 2}, 'AL-DC1(L)': {'post': 3, 'upstream': 3}}",,"['AL(L)', 'AL-DA2(L)', 'AL-DA4m(L)', 'AL-DC1(L)']","['AL(L)', 'AL-DA2(L)', 'AL-DA4m(L)']"
7,70755,2277697246,,,3,3,17,3,2,6966579,Traced,True,Leaves,,,,"{'PENP': {'pre': 3, 'post': 3, 'downstream': 17, 'upstream': 3, 'mito': 2, 'dark': 2}, 'CAN(R)': {'pre': 3, 'post': 3, 'downstream': 17, 'upstream': 3, 'mito': 2, 'dark': 2}}",,"['CAN(R)', 'PENP']","['CAN(R)', 'PENP']"
8,2502,330454716,,,68,52,529,52,28,86317746,Traced,True,Leaves,,,,"{'SNP(L)': {'pre': 68, 'post': 52, 'downstream': 529, 'upstream': 52, 'mito': 28, 'dark': 11, 'light': 3, 'medium': 14}, 'SMP(L)': {'pre': 36, 'post': 31, 'downstream': 284, 'upstream': 31, 'mito': 13, 'dark': 6, 'light': 1, 'medium': 6}, 'SIP(L)': {'pre': 32, 'post': 21, 'downstream': 245, 'upstream': 21, 'mito': 15, 'dark': 5, 'light': 2, 'medium': 8}}",,"['SIP(L)', 'SMP(L)', 'SNP(L)']","['SIP(L)', 'SMP(L)', 'SNP(L)']"
9,24901,1195353344,,,4,0,41,0,1,2645502,Traced,True,Leaves,,,,"{'INP': {'pre': 4, 'downstream': 41, 'mito': 1, 'medium': 1}, 'ICL(L)': {'pre': 4, 'downstream': 41, 'mito': 1, 'medium': 1}}",,[],"['ICL(L)', 'INP']"
